Anhang zur Grünflächensatzung
Alle Grunflächen nach laufender Nummer sortiert in einer Übersicht:
Lfd. Nr.;Anlagenbezeichnung;X-Wert;Y-Wert
1;Alte Krifteler Strasse;3463275;5551142
2;Welschgraben Spielplatz;3463427;5551117
3;Welschgrabenstrasse;3463582;5551022
4;Zeilsheim Alter Friedhof;3463777;5550985
5;Blauländchenstr.;3463843;5550875
6;Pflugspfad;3464025;5551543
7;Taunusblick;3464033;5551779
8;Detmolder Platz;3464042;5550896
9;Frankenthaler Weg Neu Zeilsheim;3464132;5551110
10;Rombergstrasse;3464148;5551683
11;Steinrutsch;3464233;5550619
12;Zeilsheim Spielplatz Ecke Neu Zeilsheim;3464283;5551000
13;Bechtenwaldstrasse;3464315;5551563
14;Blankenburger Weg;3464392;5550743
15;West-Höchster-Strasse;3464609;5550733
16;Am Lachgraben;3464654;5551794
17;Paul-Kirchof-Platz an Schulbaracken;3464734;5550348
18;Pfaffenwiese / Lenzenbergstrasse;3464791;5551405
19;Paul-Kirchhof-Platz Spielplatz;3464798;5550302
20;Hugo-Kallenbach-Strasse;3464847;5550098
21;Am Hofheimer Weg;3464931;5549365
22;Sindlingen, ehemalige Kiesgrube;3464995;5550473
23;Kleingartenpark Sindlingen;3465018;5549713
24;Friedenau;3465023;5551589
25;Hoechster-Farben-Str. Grünstreifen;3465060;5549597
26;Westenbergerstrasse Ecke Steinmetzstrasse;3465073;5549385
27;Richard-Weidlich Platz;3465127;5550308
28;Höchster Farbenstrasse Am Sportplatz;3465223;5549886
29;Grünzug Hermann Brill;3465261;5549591
30;Allesinastrasse mit Kriegerdenkmal;3465286;5549225
31;Sindlingen Kreisel West;3465336;5550006
32;Okrifteler Strasse/ B 40;3465399;5548688
33;Roter Weg;3465471;5548290
34;Sindlinger Bahnstrasse Vor dem Hotel;3465531;5549498
35;Farbenstr. Sindlingen;3465630;5549549
36;Grünverbindung Mainanlage-Pfingstbornstrasse;3465631;5549707
37;Höchster Farben Str. Von Leuna- Kreisel bis Kreis;3465637;5550839
38;Feierabendweg Spielplatz;3465773;5549487
39;Sindlinger Mainufer;3465961;5548468
40;Schmalkaldener Strasse/ A66;3466059;5552921
41;Schmalkaldener Strasse;3466165;5552706
42;Geißspitze;3466324;5552978
43;Hunsrueckstrasse;3466366;5552202
44;Graubner Park;3466378;5552847
45;Sportanlage Unterliederbach;3466412;5553050
46;Liederbacher Strasse / Heugasse;3466544;5552849
47;Wartburgstrasse;3466587;5552698
48;Otto-Ernst-Weg;3466765;5552352
49;Königssteiner Straße ecke Cheruskerweg;3466769;5553333
50;Wasgaustrasse;3466775;5552696
51;Peter-Biedstrasse Bunkerbegrünung;3466800;5552106
52;Am Liederbach zwischen Johannesallee und Liederbacher Strasse;3466875;5552555
53;Engelsruhe;3466908;5553332
54;Chattenweg/ Langobardenweg;3467038;5553234
55;An Engelsruhe 67a;3467057;5553359
56;Gebeschusstr.;3467063;5552000
57;Am Liederbach zwischen Peter-Bied und Johannisallee;3467084;5552385
58;Cheruskerweg Straßenspielplatz;3467128;5553518
59;Leunastr.;3467162;5551587
60;Adelonstrasse;3467177;5551988
61;Adolf-Häuser-Straße;3467185;5551816
62;Grauer Stein;3467270;5552934
63;Rugierstraße an Haus 66;3467308;5553197
64;Höchst Alter Friedhof;3467326;5551389
65;Cheruskerweg Bolzplatz;3467335;5553621
66;Dalbergstraße;3467335;5551837
67;Kelsterbacher Knoten Plan 1;3467485;5549046
68;Rudolf-Schäfer-Anlage (Stadtgarten);3467510;5551457
69;Sieringstrasse Spielplatz;3467526;5553003
70;Bruno-Asch-Anlage/Dalbergplatz;3467560;5551907
71;Albertslach Schwanheim;3467568;5549627
72;Brüningpark;3467571;5551335
73;Wed;3467623;5551570
74;Höchst Burggraben;3467655;5551434
75;Mainufer Höchst;3467713;5551377
76;Vor Windthorststrasse 113;3467752;5553083
77;Höchst Gerlachstrasse;3467754;5552328
78;Konrad-Glatt Straße;3467770;5552173
79;Justinuskirchgarten;3467777;5551484
80;Windthorststraße an Haus 100;3467821;5553088
81;Windthorststraße an Haus 94;3467826;5553058
82;Höchst Gerlachstrasse vor der Robert-Blum-Schule;3467830;5552415
83;Kasinostraße;3467843;5551959
84;Mainberg;3467894;5551599
85;Höchster Fähre;3467904;5551305
86;Sossenheimer Weg;3467910;5553170
87;Robert-Bunsenstraße Bunkerbegrünung;3467947;5552322
88;Kurmainzer Vorplatz Friedhof;3468008;5552681
89;Ludwig-Scriba-Strasse / Ecke Zuckschwerdtstrasse;3468036;5551989
90;Palleskestrasse 14 Sozialstation Höchst;3468058;5552147
91;Bolongarogarten;3468071;5551704
92;Wanderweg Höchster Fähre-Schwanheimer Wald;3468119;5550562
93;Höchster Stadtpark;3468314;5552783
94;Vor der Gipsmühle;3468326;5551932
95;Dunantsiedlung;3468400;5553753
96;Parkanlage Sulzbachtal;3468442;5554062
97;Ludwig- Scriba-Str.;3468446;5551970
98;Wörthspitze;3468553;5551593
99;Am Kapellenberg;3468582;5553535
100;Nied Grünzug an der Nidda;3468589;5551724
101;Auf der Weide (ehem. Kirschenallee);3468690;5552961
102;Am Schwanheimer Dünenteich;3468775;5550399
